Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
SHORE MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,NJ,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
OVERLOOK MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
OCEAN MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Below the national average,Below the national average
HACKENSACK-UMC MOUNTAINSIDE,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Same as the national average,Below the national average
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
BERGEN REGIONAL MEDICAL CENTER,NJ,Acute Care Hospitals,Government - Local,Yes,3.0,Not Available,Below the national average,Same as the national average,Not Available
ST LUKE'S WARREN HOSPITAL,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Below the national average,Below the national average
LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Above the national average,Below the national average,Below the national average
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
INSPIRA MEDICAL CENTER ELMER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Above the national average
SAINT PETER'S UNIVERSITY HOSPITAL,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Same as the national average,Below the national average,Above the national average
JERSEY SHORE UNIVERSITY MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
JERSEY CITY MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
MONMOUTH MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
SAINT BARNABAS MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Below the national average,Below the national average,Above the national average
INSPIRA MEDICAL CENTER WOODBURY,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
EAST ORANGE GENERAL HOSPITAL,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Above the national average,Below the national average,Same as the national average
MEMORIAL HOSPITAL OF SALEM COUNTY,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
CAPITAL HEALTH SYSTEM-FULD CAMPUS,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Same as the national average
SAINT MICHAEL'S MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,No,2.0,Below the national average,Below the national average,Below the national average,Below the national average
JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
CENTRASTATE MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Below the national average,Same as the national average
BAYSHORE COMMUNITY HOSPITAL,NJ,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
SOUTHERN OCEAN MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
HACKETTSTOWN MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MEADOWLANDS HOSPITAL MEDICAL CENTER,NJ,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
UNIVERSITY HOSPITAL,NJ,Acute Care Hospitals,Government - State,Yes,1.0,Same as the national average,Same as the national average,Below the national average,Below the national average
HACKENSACK-UMC AT PASCACK VALLEY,NJ,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
CHILDREN'S SPECIALIZED HOSPITAL,NJ,Childrens,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
WEISMAN CHILDRENS REHABILITATION HOSPITAL,NJ,Childrens,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available
UNM HOSPITAL,NM,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Above the national average,Same as the national average,Below the national average,Below the national average
SAN MIGUEL CORP D/B/A ALTA VISTA REGIONAL HOSPITAL,NM,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
GERALD CHAMPION REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
SAN JUAN REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
EASTERN NEW MEXICO MEDICAL CENTER,NM,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
LOVELACE MEDICAL CENTER,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
PRESBYTERIAN ESPANOLA HOSPITAL,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
GILA REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
LOVELACE WOMEN'S HOSPITAL,NM,Acute Care Hospitals,Government - State,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MEMORIAL MEDICAL CENTER,NM,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
PRESBYTERIAN HOSPITAL,NM,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
PLAINS REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Government - Federal,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ARTESIA GENERAL HOSPITAL,NM,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
LOS ALAMOS MEDICAL CENTER,NM,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
SANTA FE PHS INDIAN HOSPITAL,NM,Acute Care Hospitals,Government - Federal,No,,Not Available,Not Available,Not Available,Not Available
MESCALERO PHS INDIAN HOSPITAL,NM,Acute Care Hospitals,Government - Federal,No,,Not Available,Not Available,Not Available,Not Available
NORTHERN NAVAJO MEDICAL CENTER,NM,Acute Care Hospitals,Government - Federal,Yes,2.0,Same as the national average,Same as the national average,Not Available,Below the national average
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,NM,Acute Care Hospitals,Government - Federal,Yes,,Not Available,Same as the national average,Not Available,Not Available
GALLUP INDIAN MEDICAL CENTER,NM,Acute Care Hospitals,Government - Federal,Yes,2.0,Same as the national average,Same as the national average,Not Available,Below the national average
CROWNPOINT HEALTHCARE FACILITY,NM,Acute Care Hospitals,Government - Federal,Yes,,Not Available,Not Available,Not Available,Not Available
CARLSBAD MEDICAL CENTER,NM,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
LEA REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
GUADALUPE COUNTY HOSPITAL,NM,Acute Care Hospitals,Government - Local,No,,Not Available,Same as the national average,Above the national average,Not Available
DHHS USPHS INDIAN HEALTH SERVICES,NM,Acute Care Hospitals,Government - Federal,Yes,,Not Available,Not Available,Not Available,Not Available
LOVELACE WESTSIDE HOSPITAL,NM,Acute Care Hospitals,Government - Federal,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
ROOSEVELT GENERAL HOSPITAL,NM,Acute Care Hospitals,Government - State,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
LOVELACE REGIONAL HOSPITAL - ROSWELL,NM,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
UNM SANDOVAL REGIONAL MEDICAL CENTER,NM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
SIERRA VISTA HOSPITAL,NM,Critical Access Hospitals,Proprietary,Yes,,Same as the national average,Not Available,Not Available,Not Available
SOCORRO GENERAL HOSPITAL,NM,Critical Access Hospitals,Proprietary,Yes,,Same as the national average,Not Available,Not Available,Not Available
DR DAN C TRIGG MEMORIAL HOSPITAL,NM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
UNION COUNTY GENERAL HOSPITAL,NM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
NOR-LEA HOSPITAL DISTRICT,NM,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
LINCOLN COUNTY MEDICAL CENTER,NM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Not Available,Not Available,Same as the national average
MINERS' COLFAX MEDICAL CENTER,NM,Critical Access Hospitals,Government - State,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
CIBOLA GENERAL HOSPITAL,NM,Critical Access Hospitals,Government - Local,Yes,3.0,Same as the national average,Not Available,Above the national average,Same as the national average
MIMBRES MEMORIAL HOSPITAL,NM,Critical Access Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
ALBANY MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
KALEIDA HEALTH,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Above the national average,Below the national average,Below the national average,Below the national average
ST JOSEPH'S MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
WYOMING COUNTY COMMUNITY HOSPITAL,NY,Acute Care Hospitals,Government - Local,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Below the national average
BRONX-LEBANON HOSPITAL CENTER,NY,Acute Care Hospitals,Proprietary,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Same as the national average,Below the national average
ALBANY MEDICAL CENTER HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
JAMAICA HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
VASSAR BROTHERS MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
MOUNT SINAI HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
NASSAU UNIVERSITY MEDICAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
RICHMOND UNIVERSITY MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
NEWARK-WAYNE COMMUNITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Above the national average,Below the national average
"CHENANGO MEMORIAL HOSPITAL, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
SOUTHSIDE HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
FAXTON-ST LUKE'S HEALTHCARE,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
HUNTINGTON HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
MOUNT SINAI WEST,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
ST MARY'S HOSPITAL AT AMSTERDAM,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
NORTHERN DUTCHESS HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Above the national average,Same as the national average
NEW YORK-PRESBYTERIAN/QUEENS,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
ST PETER'S HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
GENEVA GENERAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Above the national average,Below the national average,Below the national average
MONTEFIORE MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
LAWRENCE HOSPITAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
NIAGARA FALLS MEMORIAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
UNITED MEMORIAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
F F THOMPSON HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
SISTERS OF CHARITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
ADIRONDACK MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
ALICE HYDE MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
AURELIA OSBORN FOX MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MONTEFIORE MOUNT VERNON HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
EASTERN LONG ISLAND HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ARNOT OGDEN MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
COLUMBIA MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
JONES MEMORIAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
N Y EYE AND EAR INFIRMARY,NY,Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
NEW YORK-PRESBYTERIAN HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Above the national average,Below the national average,Below the national average
KENMORE MERCY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
OLEAN GENERAL HOSPITAL,NY,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
NYACK HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
NORTH SHORE UNIVERSITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
PECONIC BAY MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Same as the national average,Same as the national average,Below the national average,Below the national average
"ST JOSEPH'S HOSPITAL, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
BERTRAND CHAFFEE HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
ONEIDA HEALTHCARE,NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
LENOX HILL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
ROCHESTER GENERAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
ORANGE REGIONAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
JACOBI MEDICAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
ELMHURST HOSPITAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
TLC HEALTH NETWORK,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
BON SECOURS COMMUNITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
MARY IMOGENE BASSETT HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
"IRA DAVENPORT MEMORIAL HOSPITAL, INC",NY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ST JAMES MERCY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
ELLIS HOSPITAL,NY,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
SAMARITAN MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Above the national average,Same as the national average,Below the national average,Below the national average
GOOD SAMARITAN HOSPITAL OF SUFFERN,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
STATEN ISLAND UNIVERSITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
NORTHERN WESTCHESTER HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
EASTERN NIAGARA HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Same as the national average,Below the national average
HIGHLAND HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
"WESTFIELD MEMORIAL HOSPITAL, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Below the national average,Same as the national average,Not Available
NYU WINTHROP HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
"CORTLAND REGIONAL MEDICAL CENTER, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
SAMARITAN HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
GLEN COVE HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
"ST FRANCIS HOSPITAL, ROSLYN",NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
MONTEFIORE NEW ROCHELLE HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Below the national average,Above the national average
MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Below the national average
GLENS FALLS HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
FLUSHING HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
MAIMONIDES MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
LONG ISLAND JEWISH MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
CONEY ISLAND HOSPITAL,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
CANTON-POTSDAM HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
SOUTH NASSAU COMMUNITIES HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
METROPOLITAN HOSPITAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
KINGSBROOK JEWISH MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
KINGS COUNTY HOSPITAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
CROUSE HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
BELLEVUE HOSPITAL CENTER,NY,Acute Care Hospitals,Government - Local,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
ST ANTHONY COMMUNITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
ST JOHN'S RIVERSIDE HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
CLAXTON-HEPBURN MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
